D.Va,Tracer,Zenyatta,Roadhog,Zarya,Mercy,McCree,Genji,Ana,Junkrat,Widowmaker,Orisa,Soldier: 76,Doomfist,Reaper,Reinhardt,Torbjörn,Pharah,Winston,Moira,Sombra,Lúcio,Hanzo,Mei,Bastion,Symmetra,rank
2:3,11:13,1:2,1:3,3:4,2:0,25:25,11:8,4:8,1:3,8:7,3:2,6:5,0:0,0:1,4:3,1:1,15:16,1:3,0:2,0:2,0:0,24:17,1:1,1:1,0:0,3618
0:0,0:1,0:0,0:0,0:0,159:134,0:0,0:0,0:0,0:2,1:1,0:0,0:0,0:0,0:1,0:0,6:20,0:0,0:0,0:2,0:0,0:1,1:4,0:1,1:2,0:0,3618
7:7,12:14,7:8,3:5,16:13,13:5,5:22,20:37,12:13,15:13,2:8,3:3,2:3,2:3,1:1,61:35,8:1,1:3,13:14,0:0,5:6,19:29,6:10,0:1,2:1,2:1,3618
46:33,2:6,30:15,7:9,59:67,67:44,1:4,2:0,21:24,38:38,0:1,17:19,11:11,3:6,2:11,41:37,10:17,7:12,93:71,42:23,3:5,1:2,3:11,9:8,9:7,1:4,3618
0:0,0:0,0:0,0:0,0:0,4:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3617
1:0,0:0,2:1,1:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,2:1,0:0,0:0,0:0,0:0,1:1,0:1,0:0,0:0,1:1,0:0,1:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,2:1,0:0,0:1,3:0,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,1:0,0:0,1:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:6,0:0,0:0,0:0,3617
0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,1:0,2:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:1,0:2,0:0,3617
0:0,1:0,0:0,0:0,0:0,0:0,1:3,0:1,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,1:0,0:0,0:0,1:0,0:0,2:1,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,3617
0:0,1:1,0:0,0:1,1:0,0:0,1:0,1:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,1:1,0:0,1:0,0:0,0:0,0:1,3:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,0:0,7:5,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
4:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,3:4,0:0,0:0,0:0,0:0,0:0,0:1,2:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,0:0,0:0,0:0,5:2,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,0:0,3:1,1:0,0:0,5:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:7,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,1:0,0:1,0:0,0:0,0:0,3:1,1:0,1:0,0:0,0:0,0:0,2:1,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,2:0,0:1,0:0,0:0,2:1,1:3,0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:1,0:1,0:0,0:1,1:2,0:1,1:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,3617
0:1,0:0,1:0,1:0,1:0,0:1,1:0,0:1,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3617
0:0,1:3,0:2,0:0,0:0,0:0,2:4,0:2,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,3617
1:0,1:0,1:2,0:0,1:3,0:1,1:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,3:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,0:0,4:0,0:0,0:0,1:0,0:0,0:0,14:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
1:1,1:0,0:1,0:0,0:1,0:1,3:1,0:0,0:2,0:0,0:1,0:0,0:0,0:0,0:0,0:3,0:0,0:0,0:1,0:0,0:0,1:0,0:0,1:0,0:0,0:0,3617
0:0,2:0,0:0,0:1,0:1,2:3,0:0,0:3,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:1,1:3,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3617
0:0,1:2,0:0,0:0,4:4,0:0,1:1,0:0,0:1,0:0,0:0,0:0,1:1,0:0,0:0,0:2,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,1:1,0:0,0:0,0:1,0:0,2:2,4:5,0:0,0:0,0:1,0:1,0:0,2:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,3617
0:0,0:2,0:0,0:1,2:0,0:0,1:1,5:1,2:1,0:0,2:2,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,3617
2:3,0:0,0:0,0:0,1:1,4:8,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:1,3617
0:0,5:1,1:0,0:2,2:0,0:0,2:1,1:1,2:2,0:0,0:1,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:1,1:0,0:0,0:1,0:0,0:0,7:5,2:4,1:0,0:0,0:0,0:0,1:0,0:0,0:1,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,4:3,1:0,8:4,1:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:0,1:1,0:0,0:1,1:2,0:0,6:4,1:3,0:0,0:0,0:1,0:0,1:1,0:1,0:0,0:0,0:0,0:1,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,3617
0:0,0:2,0:0,1:2,1:0,1:0,3:3,4:1,8:0,0:1,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,3617
0:0,0:0,0:0,0:0,0:0,0:0,0:1,15:11,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,3617
0:0,0:0,3:7,0:2,0:0,0:0,0:0,0:0,2:2,0:0,0:0,0:0,0:1,0:0,0:0,1:3,0:0,0:0,0:2,0:0,0:0,2:5,0:1,0:0,0:0,0:0,3617
0:0,0:0,0:0,1:1,1:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,7:11,0:0,0:0,3:3,0:0,0:0,1:0,0:0,0:0,0:0,0:0,3617
2:0,0:0,1:1,0:0,2:1,3:2,0:1,0:0,9:6,0:0,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:2,0:0,0:0,0:0,0:0,3617
0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,15:12,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,3617
4:1,3:2,1:1,2:2,0:0,0:0,3:2,3:3,1:3,0:0,1:1,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,3617
0:1,1:1,1:0,2:0,0:1,1:0,6:5,6:3,0:0,0:0,0:1,0:0,2:1,0:0,1:0,0:0,0:0,0:1,2:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,0:0,19:21,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:3,0:0,0:1,0:0,0:0,0:0,0:1,3617
7:7,0:3,0:1,0:2,1:1,1:1,0:1,0:1,1:2,0:0,0:0,1:0,0:2,0:0,0:0,1:1,0:0,0:0,7:5,0:0,0:0,0:1,0:0,0:0,0:0,0:0,3617
2:0,3:3,2:1,2:0,3:1,0:0,4:2,2:1,4:1,0:1,1:1,0:0,0:1,2:0,0:0,2:0,0:1,0:1,3:0,2:0,1:0,1:0,0:0,0:0,0:0,0:0,3617
0:1,0:0,1:1,0:1,21:13,0:0,0:0,0:0,0:0,1:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:0,7:8,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
2:1,0:0,0:0,0:3,5:5,2:2,0:0,6:6,0:1,0:0,0:0,0:0,0:0,0:0,0:0,5:7,0:0,0:0,4:3,0:0,0:0,3:1,0:0,0:0,0:0,0:0,3617
4:1,0:0,5:4,1:2,6:3,2:2,0:0,0:1,5:2,0:0,0:0,0:2,0:0,0:0,0:0,2:0,0:0,5:0,4:2,0:1,0:0,0:2,0:0,0:0,0:0,0:0,3617
0:2,0:0,2:3,2:1,1:2,14:4,0:0,0:2,5:7,0:0,0:0,0:0,1:1,0:0,0:0,1:0,0:0,4:1,0:1,2:0,0:0,0:1,0:0,0:0,0:1,0:0,3617
0:0,8:5,3:1,0:1,3:1,0:0,6:3,5:5,1:1,2:2,8:5,0:0,3:1,0:0,0:0,0:1,0:0,3:0,0:0,0:0,1:2,0:0,4:2,0:1,0:0,0:0,3617
2:2,0:2,0:1,0:2,1:2,0:1,2:3,23:24,0:1,0:0,0:1,0:0,3:2,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:1,2:1,0:0,0:0,0:0,3617
3:2,1:3,1:2,0:2,0:2,28:18,0:0,1:2,4:4,0:0,1:1,0:0,1:1,0:0,0:0,0:1,0:0,1:0,0:0,0:2,0:0,0:1,0:2,0:1,0:0,0:0,3617
1:0,2:1,2:3,0:0,5:3,0:0,5:4,17:14,0:1,0:1,0:0,0:1,0:2,0:0,2:1,1:0,0:0,1:2,10:4,0:0,0:0,1:1,0:0,0:0,0:0,0:0,3617
8:7,0:1,2:1,2:2,2:3,2:7,0:2,0:0,15:18,0:2,0:1,0:1,0:0,0:0,0:0,0:1,0:1,0:0,1:3,0:1,0:0,1:1,0:2,0:0,0:0,0:0,3617
0:1,0:0,40:33,0:0,0:1,2:2,0:0,0:0,2:5,0:1,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3617
22:19,0:0,0:0,0:0,0:0,20:19,0:0,0:0,0:4,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:2,0:0,0:0,0:1,0:0,3617
2:5,3:3,2:1,2:2,1:4,1:2,12:7,2:1,5:8,0:0,2:2,0:1,1:1,0:0,0:0,2:2,0:0,2:2,3:2,0:0,0:1,0:3,4:2,0:0,0:0,0:0,3617
0:1,3:5,0:0,0:1,2:3,0:0,5:7,10:2,0:0,1:0,6:6,0:0,1:5,0:1,0:1,1:0,0:1,1:2,0:0,2:0,0:1,0:0,10:4,0:1,7:1,1:0,3617
1:2,6:6,1:0,1:0,0:1,0:2,7:4,19:30,2:1,0:0,3:4,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,1:0,0:0,0:0,1:2,0:0,2:1,0:0,3617
0:0,0:0,1:0,0:0,0:0,46:33,0:0,0:0,1:2,0:0,0:1,0:0,0:1,0:0,0:0,1:2,0:0,0:0,0:0,1:5,0:0,2:3,0:1,0:2,0:1,1:0,3617
1:6,0:0,0:0,0:0,0:0,46:35,0:0,0:0,5:10,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:5,0:0,0:1,0:0,0:0,0:0,0:0,3617
13:14,0:0,2:7,0:0,0:0,39:31,0:0,0:0,1:3,0:0,0:0,1:0,0:0,0:0,0:0,1:0,0:0,0:2,2:3,0:1,0:0,1:2,0:0,0:0,0:0,0:0,3617
0:0,0:0,0:0,0:0,0:0,0:0,45:19,1:6,1:1,7:3,12:13,0:0,0:0,0:0,0:0,0:0,0:1,2:1,0:0,0:0,0:0,0:0,2:3,2:1,0:0,0:1,3617
61:56,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:6,0:0,0:0,0:0,0:0,5:7,0:0,0:0,1:3,0:0,0:0,0:0,0:0,0:1,0:0,0:2,3617
0:1,0:0,0:1,0:1,5:2,4:6,1:2,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:1,0:0,68:48,0:0,0:0,0:0,0:0,3617
2:0,5:7,5:2,4:5,1:3,0:0,6:5,12:9,7:7,12:7,1:3,0:0,1:1,0:0,0:0,1:1,0:0,4:5,5:4,0:0,0:1,0:0,9:8,1:0,0:0,1:1,3617
2:3,7:15,1:1,7:8,21:11,1:0,8:7,1:1,0:2,0:1,5:5,2:2,0:2,2:2,1:0,1:0,0:1,1:2,0:1,1:2,0:0,2:3,6:17,0:0,1:0,0:0,3617
2:3,7:15,1:1,7:8,21:11,1:0,8:7,1:1,0:2,0:1,5:5,2:2,0:2,2:2,1:0,1:0,0:1,1:2,0:1,1:2,0:0,2:3,6:17,0:0,1:0,0:0,3617
7:9,1:2,7:5,4:4,0:1,11:11,1:1,1:1,2:4,0:2,1:1,0:0,3:3,0:0,1:0,3:5,0:1,0:1,43:30,0:0,0:1,10:9,0:0,0:0,0:0,0:0,3617
78:46,1:1,5:3,0:0,3:6,1:0,0:0,0:0,1:2,0:0,0:0,1:0,0:0,0:0,0:0,13:18,0:0,0:0,2:4,0:0,0:0,0:3,0:1,0:0,0:0,0:0,3617
5:4,28:11,6:4,5:7,4:3,1:4,10:10,14:12,2:4,0:1,11:9,1:1,6:3,1:0,0:0,2:2,0:0,7:2,2:2,3:1,0:0,1:0,2:3,1:2,0:0,0:1,3617
13:9,2:2,9:9,4:7,9:8,6:3,3:5,7:7,10:12,1:3,0:1,4:5,3:4,0:1,0:1,7:8,0:1,2:3,4:9,4:2,2:1,4:4,0:1,0:2,0:1,0:0,3617
0:0,2:3,4:0,13:9,4:2,0:1,7:9,38:33,4:3,13:7,1:0,0:0,1:4,0:1,10:9,4:2,0:0,2:3,1:1,2:0,0:0,1:1,5:8,0:1,1:0,0:0,3617
16:11,0:1,5:6,0:0,0:0,113:51,0:1,0:0,4:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,1:0,1:0,0:0,1:2,0:0,0:1,0:1,0:0,3617
26:25,4:5,8:5,4:2,3:7,31:14,0:1,1:2,1:3,10:10,0:2,4:1,2:2,0:0,2:2,0:2,1:4,7:6,5:6,0:0,0:2,3:1,0:4,0:0,1:1,2:0,3617
16:19,0:0,13:10,0:0,3:3,30:22,1:4,0:0,19:27,0:0,0:1,0:1,0:0,0:0,0:0,0:0,1:0,0:0,1:2,27:20,0:0,0:0,0:0,0:0,0:0,0:0,3617
14:17,0:0,3:4,0:1,0:1,109:72,0:0,0:0,6:7,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:3,0:0,0:0,0:0,0:0,3617
10:8,2:3,0:1,1:1,10:4,0:0,65:43,7:10,4:3,0:2,4:3,0:0,2:3,0:1,1:1,0:2,0:0,2:2,12:10,0:0,0:0,4:1,3:5,0:1,0:4,0:1,3617
10:9,5:3,1:1,9:8,27:20,1:1,8:12,6:3,19:15,1:2,2:6,2:1,1:2,1:1,0:1,5:4,0:1,5:1,17:14,5:2,0:1,5:1,4:5,2:1,1:2,0:0,3617
10:9,5:3,1:1,9:8,27:20,1:1,8:12,6:3,19:15,1:2,2:6,2:1,1:2,1:1,0:1,5:4,0:1,5:1,17:14,5:2,0:1,5:1,4:5,2:1,1:2,0:0,3617
6:9,0:0,0:1,0:0,0:0,117:119,0:1,0:0,0:1,0:0,0:1,0:0,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,1:3,0:0,0:0,0:0,0:0,3617
9:13,30:32,1:1,2:2,9:11,6:5,5:4,0:1,8:20,0:0,3:1,0:2,42:34,0:0,0:0,0:3,0:1,0:1,10:13,0:1,0:1,0:0,1:1,0:0,0:0,0:1,3617
7:6,6:13,6:6,10:10,6:4,2:4,30:28,5:5,12:18,1:1,21:15,2:1,5:7,1:1,1:1,3:2,0:1,0:1,6:8,17:10,1:1,2:4,3:2,0:1,2:3,0:1,3617
5:8,27:36,4:4,8:5,21:14,1:1,46:56,44:44,15:19,9:16,113:98,1:2,4:2,3:4,1:2,3:2,6:12,6:4,4:5,7:5,4:2,1:3,15:16,1:1,3:3,6:12,3617
0:0,0:0,0:0,0:0,0:0,0:0,7:0,0:0,0:0,1:0,0:0,0:1,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:0,0:0,0:0,0:0,0:0,1:1,2:2,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:1,0:0,0:0,0:0,3616
0:0,0:0,1:1,0:0,0:0,6:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:0,0:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,5:0,0:0,0:0,0:0,3616
0:2,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,1:2,0:0,0:0,2:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,2:7,0:0,0:0,3616
0:0,0:0,0:0,0:0,0:0,2:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:3,0:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:1,1:0,1:0,1:0,0:1,1:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:0,0:0,0:0,3:2,0:0,0:0,2:1,0:0,0:0,0:0,0:0,3616
0:1,0:2,0:0,0:1,0:1,0:0,3:2,0:2,0:0,0:1,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,3616
0:0,0:0,0:0,0:1,0:0,4:4,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,4:1,0:0,0:0,0:1,0:0,0:0,0:0,0:1,3616
0:0,0:0,1:0,0:0,2:0,0:0,1:0,1:1,1:0,0:0,0:0,0:0,0:0,0:0,4:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,1:1,0:0,0:0,3616
0:0,0:0,1:0,0:0,0:0,5:1,0:0,0:0,7:3,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
2:3,0:0,0:1,0:0,0:0,3:6,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:1,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
1:0,0:1,0:0,8:4,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
2:2,0:0,1:0,0:1,2:0,0:2,0:0,1:0,4:3,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
1:0,1:1,0:0,1:1,1:0,1:0,1:1,1:1,0:1,0:0,1:1,0:0,0:0,0:0,0:0,1:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,3616
3:2,0:2,1:0,0:1,0:0,1:1,0:0,0:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,1:0,0:0,0:0,2:0,0:0,0:0,2:2,0:0,0:0,0:0,0:0,3616
0:0,1:0,0:0,0:0,0:0,0:0,1:2,0:2,1:0,0:0,0:1,0:0,2:0,0:2,2:1,0:0,0:0,0:1,0:0,0:0,0:1,0:0,2:1,0:0,0:0,0:0,3616
0:3,1:0,3:2,1:1,1:1,0:0,0:0,1:1,0:1,0:0,0:0,1:0,0:1,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:2,0:0,0:0,3616
0:1,0:0,2:6,0:0,0:0,0:1,0:0,0:0,2:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,1:6,0:0,0:0,0:0,0:0,3616
1:0,1:1,0:0,1:0,0:1,0:0,1:6,6:3,1:0,1:0,0:0,0:0,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:0,1:1,0:1,1:2,1:2,0:0,3:3,2:1,0:0,0:1,1:0,0:0,1:2,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:0,0:1,1:1,1:2,1:1,0:0,2:3,2:4,0:4,0:0,0:1,1:0,2:1,0:1,0:0,1:0,0:0,0:0,2:0,1:0,0:0,0:1,0:0,0:0,0:0,0:0,3616
1:0,0:0,0:1,1:0,6:8,3:6,0:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:1,1:3,0:0,3616
0:1,0:0,0:0,7:3,1:0,1:1,0:0,0:0,3:2,2:2,0:0,0:1,0:0,0:0,0:0,6:2,0:0,1:1,2:4,0:0,0:0,0:0,0:0,0:0,0:0,0:0,3616
0:0,0:0,0:0,19:11,1:1,1:1,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,4:1,0:0,0:0,0:2,0:0,0:0,0:0,0:0,0:3,0:0,0:0,3616
1:0,7:5,14:8,2:0,1:0,0:0,1:1,0:0,5:1,0:1,2:1,1:0,2:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:1,0:0,0:0,0:0,3616
0:0,1:3,0:0,0:1,0:0,0:0,0:0,2:0,0:2,1:1,1:2,0:0,0:2,4:10,0:0,0:0,0:0,2:1,0:0,4:6,1:1,0:0,0:0,5:5,0:0,0:0,3616
0:1,5:5,0:1,0:1,1:2,0:1,8:5,5:6,2:1,0:0,0:1,0:0,1:1,0:0,0:0,0:1,0:0,3:2,0:0,1:0,1:0,0:0,0:0,0:0,0:0,0:0,3616
3:2,0:1,1:2,0:1,1:1,0:0,0:1,6:3,5:5,0:0,0:0,1:0,0:1,0:0,0:0,5:1,0:0,2:0,8:2,0:0,0:0,2:0,0:1,0:0,0:1,0:0,3616
0:0,0:0,1:2,0:0,0:0,9:4,0:0,0:0,14:17,0:0,0:0,0:0,0:0,0:0,1:0,0:1,0:1,0:0,1:1,0:0,0:0,1:1,0:0,0:1,1:0,0:1,3616
12:10,2:3,1:1,4:7,2:3,2:2,0:1,0:0,1:0,1:1,0:0,1:1,3:2,0:0,0:1,5:3,0:0,1:0,19:15,0:0,0:0,0:1,0:1,0:0,0:0,0:0,3639
0:1,0:0,7:7,0:1,1:1,3:4,1:2,0:1,3:4,0:0,0:0,1:0,2:2,0:0,0:1,6:5,0:0,1:1,5:3,1:0,0:0,0:1,0:0,0:0,0:0,0:0,3616
0:2,0:3,3:2,1:0,16:12,1:0,0:0,1:1,0:2,0:0,0:0,0:0,0:2,0:0,0:0,7:5,0:0,0:0,2:2,1:0,0:0,0:0,0:1,0:0,0:0,0:0,3616
1:0,4:2,1:0,1:1,4:3,0:1,7:8,3:4,1:2,1:2,5:2,0:0,0:1,0:1,0:0,1:0,0:0,1:1,1:0,0:0,0:1,0:0,3:1,0:1,0:0,1:0,3616
17:13,0:0,0:0,0:0,0:0,19:16,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,5:4,0:0,0:0,0:0,0:0,3616
17:13,0:0,0:0,0:0,0:0,19:16,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,5:4,0:0,0:0,0:0,0:0,3616
2:1,18:2,1:0,0:1,4:0,0:0,11:5,14:4,0:1,0:0,0:0,0:0,2:2,1:0,0:0,0:0,0:0,3:2,0:1,0:0,0:1,0:0,0:0,0:0,0:0,0:0,3616
13:4,6:2,0:1,3:0,8:4,3:6,2:0,0:0,0:0,0:1,0:1,0:1,0:0,0:0,0:0,2:2,0:1,0:0,7:4,0:0,1:0,1:1,0:0,0:1,0:0,0:0,3616
